timestamp,episode,step,reward,td_mean,td_var,loss,noise_std,latent_gap,alpha_t,gamma_t,c_t,model,seed
2026-06-27T09:27:52.514029+00:00,1,1,13.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.0,V1,0
2026-06-27T09:27:52.542778+00:00,2,2,29.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,1.0,1.0,V1,0
2026-06-27T09:27:52.564159+00:00,3,3,23.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.0,V1,0
2026-06-27T09:27:55.442492+00:00,4,4,73.0,-1.9247806072235107,1.1193466186523438,0.8609834313392639,0.01,0.9586029648780823,0.0,1.0,0.5792648792266846,V1,0
2026-06-27T09:27:58.119675+00:00,5,5,37.0,-1.8391108512878418,1.132676362991333,0.8138148188591003,0.01,0.9573689699172974,0.0,1.0,0.5799258947372437,V1,0
2026-06-27T09:28:00.840475+00:00,6,6,33.0,-1.813488245010376,1.1310707330703735,0.8004006743431091,0.01,0.9564520120620728,0.0,1.0,0.5804175734519958,V1,0
2026-06-27T09:28:03.255201+00:00,7,7,11.0,-1.8392506837844849,1.1214295625686646,0.8158668279647827,0.01,0.9557222723960876,0.0,1.0,0.5808091759681702,V1,0
2026-06-27T09:28:06.014781+00:00,8,8,30.0,-1.8587188720703125,1.1181640625,0.8274229764938354,0.01,0.955695390701294,0.0,1.0,0.5808236002922058,V1,0
2026-06-27T09:28:08.649175+00:00,9,9,11.0,-1.7871536016464233,1.1350352764129639,0.7876248955726624,0.01,0.9555802345275879,0.0,1.0,0.5808854103088379,V1,0
2026-06-27T09:28:11.347494+00:00,10,10,20.0,-1.7971965074539185,1.1212955713272095,0.7943466901779175,0.01,0.9539566040039062,0.0,1.0,0.581757664680481,V1,0
2026-06-27T09:28:13.861701+00:00,11,11,35.0,-1.8174010515213013,1.114059329032898,0.8064237833023071,0.01,0.9533342123031616,0.0,1.0,0.58209228515625,V1,0
2026-06-27T09:28:16.519236+00:00,12,12,28.0,-1.8383482694625854,1.1074331998825073,0.8188047409057617,0.01,0.952924370765686,0.0,1.0,0.5823127031326294,V1,0
2026-06-27T09:28:19.680872+00:00,13,13,18.0,-1.8750624656677246,1.089274525642395,0.8402702808380127,0.01,0.9519903063774109,0.0,1.0,0.5828155279159546,V1,0
